CompanyNumber_norm,period_t,period_t_plus_1,split_company,split_time
00167923,2024-01-31,2025-01-31,train,time_train
00169536,2024-08-31,2025-08-31,train,time_test
00179839,2023-12-31,2024-12-31,train,time_train
00179984,2024-03-31,2025-03-31,train,time_train
00185304,2024-03-31,2025-03-31,train,time_train
00186354,2024-03-31,2025-03-31,train,time_train
00188101,2024-03-31,2025-03-31,train,time_train
00188957,2024-03-31,2025-03-31,train,time_train
00193009,2024-03-31,2025-03-31,test,time_train
00194414,2024-06-30,2025-06-30,test,time_train
00199223,2024-03-31,2025-03-31,test,time_train
00200585,2024-03-31,2025-03-31,test,time_train
00201473,2024-03-31,2025-03-31,test,time_train
00202933,2024-04-30,2025-04-30,train,time_train
00203464,2024-07-31,2025-07-31,test,time_train
00204860,2023-12-31,2024-12-31,train,time_train
00204860,2024-12-31,2025-12-31,train,time_train
00205663,2024-03-31,2025-03-31,test,time_train
00205749,2024-01-31,2025-01-31,train,time_train
00215311,2024-12-31,2025-12-31,train,time_test
00215638,2023-12-31,2025-03-31,train,time_train
00215881,2024-09-30,2025-09-30,test,time_test
00217683,2024-01-31,2025-01-31,test,time_train
00217683,2025-01-31,2026-01-31,test,time_train
00218086,2023-12-31,2024-12-31,train,time_train
00218198,2023-12-31,2024-12-31,test,time_train
00218198,2024-12-31,2025-12-31,test,time_train
00221533,2023-12-31,2024-12-31,train,time_train
00221533,2024-12-31,2025-12-31,train,time_train
00222672,2024-09-30,2025-09-30,train,time_train
00223680,2024-04-05,2025-04-05,train,time_train
00225064,2023-12-31,2024-12-31,train,time_train
00228812,2024-01-31,2025-01-31,train,time_train
00229985,2023-12-31,2024-12-31,train,time_train
00231116,2023-12-31,2024-12-31,train,time_train
00237221,2025-03-31,2026-03-31,train,time_test
00238487,2024-04-30,2025-04-30,train,time_train
00240612,2024-03-31,2025-03-31,train,time_train
00240661,2023-11-30,2024-11-30,test,time_train
00241587,2024-03-31,2025-03-31,train,time_train
00241680,2024-06-30,2025-06-30,train,time_train
00242823,2023-12-31,2024-12-31,train,time_train
00244914,2023-12-31,2024-12-31,train,time_train
00247709,2022-09-30,2023-09-30,train,time_test
00247709,2023-09-30,2024-09-30,train,time_test
00247709,2024-09-30,2025-09-30,train,time_test
00248662,2024-03-31,2025-03-31,train,time_test
00248754,2024-06-30,2025-06-30,train,time_train
00251701,2023-12-31,2024-12-31,train,time_train
00252183,2024-09-30,2025-09-30,train,time_test
00259441,2024-03-31,2025-03-31,train,time_train
00266533,2024-01-29,2025-01-29,train,time_train
00268528,2024-04-30,2025-04-30,train,time_train
00269032,2024-10-31,2025-10-31,train,time_train
00274200,2024-01-21,2025-01-21,train,time_train
00276029,2023-12-31,2024-12-31,train,time_train
00276029,2024-12-31,2025-12-31,train,time_train
00279353,2024-03-31,2025-03-31,train,time_train
00279767,2023-12-31,2024-12-31,train,time_train
00279767,2024-12-31,2025-12-31,train,time_train
00282996,2024-09-30,2025-09-30,train,time_test
00285382,2024-03-31,2025-03-31,train,time_train
00288362,2024-04-30,2025-04-30,train,time_train
00290776,2024-12-31,2025-12-31,train,time_train
00294077,2024-03-31,2025-03-31,train,time_train
00296492,2023-12-31,2024-12-31,train,time_train
00297374,2024-05-31,2025-05-31,train,time_train
00299638,2023-11-30,2024-11-30,train,time_train
00300289,2024-03-31,2025-03-31,train,time_train
00304514,2023-08-31,2024-08-31,train,time_train
00306068,2024-03-31,2025-03-31,train,time_train
00312510,2024-03-31,2025-03-31,train,time_train
00312510,2025-03-31,2026-03-31,train,time_train
00314036,2024-03-31,2025-03-31,train,time_train
00314353,2024-03-31,2025-03-31,train,time_train
00320570,2024-03-31,2025-03-31,train,time_train
00320570,2025-03-31,2026-03-31,train,time_train
00322940,2024-04-05,2025-04-05,train,time_train
00323401,2024-03-31,2025-03-31,train,time_train
00324093,2023-12-31,2024-12-31,train,time_train
00324093,2024-12-31,2025-12-31,train,time_train
00326102,2024-12-31,2025-12-31,test,time_train
00327231,2024-03-31,2025-03-31,train,time_train
00328355,2023-12-31,2024-12-31,train,time_train
00329819,2024-01-31,2025-01-31,train,time_train
00332689,2024-04-05,2025-04-05,train,time_train
00334968,2023-10-31,2024-10-31,train,time_train
00334968,2024-10-31,2025-10-31,train,time_train
00336136,2024-03-31,2025-03-31,train,time_train
00336779,2024-06-30,2025-06-30,train,time_train
00337474,2023-12-30,2024-12-30,train,time_train
00339009,2024-03-31,2025-03-31,train,time_train
00342463,2023-12-31,2024-12-31,train,time_train
00342463,2024-12-31,2025-12-31,train,time_train
00345057,2024-06-30,2025-06-30,train,time_train
00345977,2024-08-31,2025-08-31,train,time_test
00347316,2024-12-31,2025-12-31,train,time_test
00348565,2023-12-31,2024-12-31,train,time_train
00349626,2024-02-29,2025-02-28,test,time_train
00354146,2023-12-31,2024-12-31,train,time_train
00357258,2024-03-31,2025-03-31,train,time_train
00358562,2023-12-31,2024-12-31,train,time_train
00359805,2024-10-31,2025-10-31,train,time_train
00360471,2024-03-31,2025-03-31,train,time_train
00360609,2024-04-05,2025-04-05,train,time_train
00361134,2024-03-31,2025-03-31,train,time_train
00362033,2024-01-31,2025-01-31,train,time_train
00363475,2024-05-31,2025-05-31,test,time_train
00363872,2024-03-31,2025-03-31,train,time_train
00365192,2024-03-31,2025-03-31,train,time_train
00365743,2024-04-05,2025-04-05,train,time_train
00370370,2024-09-30,2025-09-30,train,time_test
00371191,2023-12-31,2024-12-31,train,time_train
00371334,2023-12-31,2024-12-31,train,time_train
00372246,2024-07-31,2025-07-31,train,time_train
00372410,2023-12-31,2024-12-31,train,time_train
00373005,2024-04-05,2025-04-05,train,time_train
00374860,2024-03-31,2025-03-31,train,time_train
00377178,2024-03-31,2025-03-31,train,time_train
00379885,2024-03-31,2025-03-31,train,time_train
00379922,2024-03-31,2025-03-31,train,time_train
00382083,2024-06-30,2025-06-30,train,time_train
00382172,2024-04-05,2025-04-05,train,time_train
00382662,2024-03-31,2025-03-31,train,time_train
00382763,2023-12-31,2024-12-31,test,time_train
00383917,2023-10-31,2024-10-31,train,time_train
00384076,2024-04-30,2025-04-30,train,time_train
00384540,2024-05-31,2025-05-31,train,time_train
00387363,2024-07-31,2025-07-31,test,time_train
00390920,2024-03-31,2025-03-31,train,time_train
00391339,2024-03-31,2025-03-31,test,time_train
00393070,2024-06-30,2025-06-30,train,time_train
00394366,2023-12-31,2024-12-31,train,time_train
00395137,2023-10-01,2024-10-02,train,time_train
00395137,2024-10-02,2025-10-02,train,time_train
00395875,2024-03-31,2025-03-31,train,time_train
00397518,2023-12-31,2024-12-31,train,time_train
00399098,2024-09-30,2025-09-30,train,time_test
00400506,2024-12-31,2025-12-31,train,time_test
00401255,2024-06-30,2025-06-30,train,time_train
00403473,2024-06-30,2025-06-30,train,time_train
00403812,2024-04-30,2025-04-30,train,time_train
00404825,2024-09-30,2025-09-30,test,time_train
00405987,2024-02-29,2025-02-28,train,time_train
00406741,2025-03-31,2026-03-31,train,time_test
00408647,2024-02-29,2025-06-30,train,time_train
00408695,2023-12-31,2024-12-31,train,time_train
00409528,2023-12-31,2024-12-31,test,time_train
00410149,2023-12-31,2024-12-31,train,time_train
00410782,2024-05-31,2025-05-31,train,time_test
00411903,2024-04-30,2025-04-30,train,time_train
00413244,2024-04-05,2025-04-05,test,time_train
00415543,2025-03-31,2026-03-31,train,time_train
00416173,2024-05-31,2025-05-31,train,time_train
00416527,2024-03-31,2025-03-31,train,time_train
00418217,2023-12-31,2024-12-31,test,time_train
00418217,2024-12-31,2025-12-31,test,time_train
00418227,2024-03-31,2025-03-31,train,time_train
00418802,2024-09-30,2025-09-30,train,time_train
00420247,2024-03-31,2025-03-31,test,time_train
00421255,2024-03-31,2025-03-30,train,time_train
00422586,2024-03-31,2025-03-31,train,time_train
00423698,2024-03-31,2025-03-31,test,time_train
00423769,2024-04-30,2025-04-30,train,time_train
00424449,2024-06-30,2025-06-30,train,time_train
00425506,2023-12-31,2024-12-31,train,time_train
00425545,2023-12-31,2024-12-31,train,time_train
00429501,2024-03-31,2025-03-31,train,time_train
00429584,2023-12-31,2024-12-31,test,time_train
00432029,2024-03-31,2025-03-31,test,time_train
00433300,2024-12-28,2025-12-27,train,time_test
00434725,2024-05-31,2025-05-31,train,time_train
00435991,2024-04-06,2025-04-06,train,time_train
00436741,2024-06-30,2025-06-30,train,time_train
00440618,2024-04-30,2025-04-30,train,time_train
00441609,2024-08-31,2025-08-31,test,time_train
00441900,2024-08-31,2025-08-31,train,time_train
00443053,2023-12-31,2024-12-31,train,time_train
00445084,2023-10-31,2024-10-31,test,time_train
00448163,2023-12-31,2024-12-31,test,time_train
00449104,2024-06-30,2025-06-30,train,time_train
00449716,2024-08-31,2025-08-31,train,time_train
00450275,2024-03-31,2025-03-31,train,time_train
00450495,2024-03-31,2025-03-31,train,time_train
00451448,2024-06-30,2025-06-30,train,time_train
00453725,2023-12-31,2024-12-31,train,time_train
00454303,2024-03-31,2025-03-31,train,time_train
00458545,2024-09-30,2026-03-31,train,time_test
00459658,2024-07-31,2025-07-31,test,time_train
00460789,2024-03-31,2025-03-31,train,time_train
00461505,2024-05-31,2025-05-31,train,time_train
00463817,2025-01-31,2026-01-31,test,time_test
00464277,2024-01-31,2025-01-31,test,time_train
00464452,2023-12-31,2024-12-31,train,time_train
00464752,2024-04-05,2025-04-05,train,time_train
00464960,2025-02-28,2026-02-28,train,time_test
00466234,2024-03-31,2025-03-31,train,time_train
00466266,2024-03-31,2025-03-31,train,time_train
00466944,2024-04-05,2025-04-05,train,time_train
00467663,2024-09-30,2025-09-30,train,time_train
00467713,2024-03-31,2025-03-31,train,time_train
00468298,2023-11-30,2024-11-30,train,time_train
00468298,2024-11-30,2025-11-30,train,time_train
00468727,2024-03-31,2025-03-31,train,time_train
00469066,2023-12-31,2024-12-31,train,time_train
00470792,2024-06-30,2025-06-30,train,time_train
00476401,2024-03-31,2025-03-31,train,time_train
00476991,2024-03-31,2025-03-31,train,time_train
00478772,2024-03-31,2025-03-31,train,time_train
00478890,2024-04-30,2025-04-30,train,time_train
00478890,2025-04-30,2026-04-30,train,time_train
00479205,2024-03-31,2025-03-31,train,time_train
00479957,2023-12-31,2024-12-31,train,time_train
00481060,2024-03-31,2025-03-31,train,time_train
00481111,2024-05-31,2025-05-31,train,time_train
00484322,2024-06-30,2025-06-30,train,time_train
00486080,2023-11-30,2024-11-30,test,time_train
00486437,2024-06-30,2025-06-30,test,time_train
00486789,2024-04-05,2025-04-05,test,time_train
00488961,2023-12-30,2024-12-30,train,time_train
00489320,2023-12-31,2024-12-31,test,time_train
00489364,2024-09-30,2025-09-30,train,time_test
00490088,2024-05-31,2025-05-31,train,time_train
00490417,2024-03-31,2025-03-31,train,time_train
00491172,2023-12-31,2024-12-31,train,time_train
00491172,2024-12-31,2025-12-31,train,time_train
00491819,2024-02-29,2025-02-28,train,time_train
00493436,2024-03-31,2025-03-31,train,time_train
00493582,2024-03-31,2025-03-31,train,time_train
00496381,2024-09-30,2025-09-30,test,time_test
00496670,2023-12-31,2024-12-31,train,time_train
00498474,2024-12-30,2025-12-30,train,time_test
00499968,2023-07-31,2024-07-31,train,time_train
00502926,2023-12-31,2024-12-31,train,time_train
00504113,2024-02-29,2025-02-28,train,time_train
00505123,2025-03-31,2026-03-31,train,time_test
00505821,2024-04-05,2025-04-05,test,time_train
00506829,2024-05-31,2025-05-31,train,time_train
00507835,2024-05-31,2025-05-31,train,time_train
00509087,2024-03-31,2025-03-31,train,time_train
00510546,2024-10-31,2025-10-31,train,time_train
00511312,2024-02-29,2025-02-28,train,time_train
00513045,2024-07-31,2025-07-31,train,time_train
00513551,2024-02-29,2025-02-28,train,time_train
00514271,2023-12-31,2024-12-31,train,time_train
00514281,2024-03-31,2025-03-31,train,time_train
00516103,2025-03-31,2026-03-31,train,time_test
00517490,2023-12-31,2024-12-31,train,time_train
00517577,2024-09-30,2025-09-30,train,time_train
00517581,2024-03-31,2025-03-31,test,time_train
00518182,2024-03-31,2025-03-31,train,time_train
00519364,2024-03-31,2025-03-31,train,time_train
00520013,2023-12-31,2024-12-31,train,time_train
00521097,2024-03-31,2025-03-31,test,time_train
00521228,2024-03-31,2025-03-31,train,time_train
00521547,2024-03-31,2025-03-31,train,time_train
00521609,2023-12-31,2024-12-31,test,time_train
00521903,2024-12-31,2025-12-31,test,time_train
00522521,2023-12-31,2024-12-31,train,time_train
00522751,2023-12-31,2024-12-31,test,time_train
00523257,2024-09-30,2025-09-30,test,time_test
00525146,2024-09-30,2025-09-30,train,time_train
00526837,2024-04-30,2025-04-30,test,time_train
00527097,2024-03-31,2025-03-31,test,time_train
00527701,2024-12-31,2025-12-31,train,time_test
00527737,2023-12-31,2024-12-31,train,time_train
00528767,2024-03-31,2025-03-31,train,time_train
00528788,2024-01-31,2025-01-31,train,time_train
00530031,2024-06-30,2025-06-30,train,time_train
00530969,2024-03-31,2025-03-31,train,time_train
00531130,2024-06-30,2025-06-30,test,time_train
00531257,2023-12-31,2024-12-31,train,time_train
00532609,2024-03-31,2025-03-31,train,time_train
00533170,2024-04-15,2025-04-15,train,time_train
00533277,2024-06-30,2025-06-30,train,time_train
00533669,2023-12-31,2024-12-31,train,time_train
00533765,2024-08-31,2025-08-31,train,time_test
00535080,2024-06-30,2025-06-30,train,time_train
00538335,2023-12-31,2024-12-31,train,time_train
00540109,2023-10-31,2024-10-31,train,time_train
00540788,2024-03-31,2025-03-31,test,time_train
00541403,2024-04-05,2025-04-05,train,time_train
00542179,2024-03-31,2025-03-31,train,time_train
00545140,2023-12-31,2024-12-31,test,time_train
00545540,2023-12-31,2024-12-31,train,time_train
00545759,2023-12-30,2024-12-30,train,time_train
00545849,2024-03-31,2025-03-31,test,time_train
00547155,2023-12-31,2024-12-31,train,time_train
00547227,2024-04-30,2025-04-30,train,time_train
00547763,2024-03-31,2025-03-31,train,time_train
00547860,2024-04-30,2025-04-30,train,time_train
00548626,2024-06-30,2025-06-30,train,time_train
00549258,2024-03-31,2025-03-30,train,time_train
00550203,2024-04-30,2025-04-30,train,time_train
00550337,2023-12-31,2024-12-31,train,time_train
00550337,2024-12-31,2025-12-31,train,time_train
00553500,2024-03-31,2025-03-31,train,time_train
00553528,2024-10-31,2025-10-31,train,time_train
00554398,2023-12-31,2024-12-31,test,time_train
00554437,2024-06-30,2025-06-30,train,time_train
00554602,2023-12-31,2024-12-31,test,time_train
00554838,2024-03-31,2025-03-31,train,time_train
00555334,2023-09-30,2024-09-30,train,time_train
00555524,2024-03-31,2025-03-31,train,time_train
00558020,2024-03-31,2025-03-31,train,time_train
00558632,2024-12-31,2025-12-31,train,time_train
00560074,2024-01-31,2025-01-31,train,time_train
00562895,2024-04-30,2025-04-30,test,time_train
00562895,2025-04-30,2026-04-30,test,time_train
00563677,2024-03-31,2025-03-31,train,time_train
00564590,2024-03-31,2025-03-31,train,time_train
00565481,2024-04-30,2025-04-30,test,time_train
00566295,2024-03-31,2025-03-31,train,time_train
00566885,2024-07-31,2025-07-31,train,time_train
00566908,2024-03-31,2025-03-31,train,time_train
00567709,2024-01-31,2025-01-31,test,time_train
00567947,2024-04-05,2025-04-05,train,time_train
00568173,2024-03-31,2025-03-31,train,time_train
00568802,2024-07-31,2025-07-31,test,time_train
00574482,2024-09-30,2025-09-30,train,time_train
00574562,2024-07-31,2025-07-31,train,time_train
00574905,2023-12-31,2024-12-31,train,time_train
00575351,2024-02-28,2025-02-28,train,time_train
00575616,2023-12-31,2024-12-31,train,time_train
00576197,2024-03-31,2025-03-31,train,time_train
00576715,2024-01-31,2025-01-31,test,time_train
00579068,2024-02-29,2025-02-28,train,time_train
00579209,2024-03-31,2025-03-31,train,time_train
00579838,2023-12-31,2024-12-31,train,time_train
00579838,2024-12-31,2025-12-31,train,time_train
00580344,2023-12-31,2024-12-31,train,time_train
00580525,2024-04-30,2025-04-30,train,time_train
00581974,2024-03-31,2025-03-31,train,time_train
00582896,2024-03-31,2025-03-31,train,time_train
00583958,2024-06-30,2025-06-30,train,time_train
00584246,2023-12-31,2024-12-31,train,time_train
00584246,2024-12-31,2025-12-31,train,time_train
00584412,2024-06-30,2025-06-30,test,time_train
00586358,2024-06-30,2025-06-30,train,time_train
00586952,2024-03-31,2025-03-31,train,time_train
00587279,2024-08-31,2025-08-31,train,time_train
00587315,2024-05-31,2025-05-31,train,time_train
00587736,2024-03-31,2025-03-31,train,time_train
00589763,2024-10-31,2025-10-31,train,time_train
00590401,2024-03-31,2025-03-31,train,time_train
00590494,2024-01-31,2025-01-31,test,time_train
00590967,2024-03-31,2025-03-31,train,time_train
00591844,2024-10-31,2025-10-31,train,time_test
00592101,2024-06-30,2025-06-30,test,time_train
00592382,2024-04-30,2025-04-30,train,time_train
00592729,2024-06-30,2025-06-30,test,time_train
00592762,2024-04-30,2025-04-30,train,time_train
00593644,2023-10-31,2024-10-31,train,time_train
00594024,2023-12-31,2024-12-31,train,time_train
00594354,2024-03-31,2025-03-31,test,time_train
00594998,2024-09-30,2025-09-30,train,time_train
00596178,2023-12-31,2024-12-31,train,time_train
00596534,2023-03-31,2024-03-31,train,time_train
00596534,2024-03-31,2025-03-31,train,time_train
00599033,2023-10-28,2024-10-26,train,time_train
00599711,2023-12-31,2024-12-31,train,time_train
00600378,2024-09-30,2025-09-30,train,time_train
00601019,2024-04-30,2025-04-30,train,time_train
00601561,2024-05-31,2025-05-31,test,time_train
00601584,2024-03-31,2025-03-31,train,time_train
00601849,2024-03-31,2025-03-31,test,time_train
00601849,2025-03-31,2026-03-31,test,time_train
00602019,2024-04-05,2024-12-31,train,time_train
00602019,2024-12-31,2025-12-31,train,time_train
00603096,2024-04-30,2025-04-30,train,time_train
00603115,2024-03-31,2025-03-31,train,time_train
00603130,2023-12-31,2024-12-31,train,time_train
00603130,2024-12-31,2025-12-31,train,time_train
00603254,2024-01-31,2025-01-31,train,time_train
00603519,2024-03-31,2025-03-31,train,time_train
00603785,2024-05-31,2025-05-31,train,time_train
00603841,2024-04-30,2025-04-30,train,time_train
00606936,2024-06-30,2025-06-30,train,time_train
00606961,2024-06-30,2025-06-30,test,time_train
00607080,2023-12-31,2024-12-31,train,time_train
00607096,2024-06-30,2025-06-30,train,time_train
00607452,2024-01-31,2025-01-31,train,time_train
00608653,2024-03-31,2025-03-31,train,time_train
00610625,2024-08-31,2025-08-31,train,time_test
00611345,2024-09-30,2025-09-30,train,time_test
00611593,2023-12-31,2024-12-31,train,time_train
00611652,2024-09-30,2025-09-30,train,time_train
00612143,2024-11-30,2025-11-30,test,time_train
00612237,2023-12-31,2024-12-31,train,time_train
00612557,2024-03-31,2025-03-31,train,time_train
00612995,2024-03-31,2025-03-31,train,time_train
00613979,2024-07-31,2025-07-31,train,time_train
00614838,2024-09-30,2025-09-30,train,time_test
00615193,2024-12-31,2025-12-31,train,time_train
00615646,2025-03-31,2026-03-31,train,time_test
00615993,2024-09-30,2025-09-30,train,time_train
00616380,2023-12-31,2024-12-31,train,time_train
00617038,2024-03-31,2025-03-31,test,time_train
00617095,2024-09-30,2025-09-30,train,time_train
00617773,2024-03-31,2025-03-31,test,time_train
00617841,2024-01-01,2024-12-31,train,time_train
00618260,2023-10-31,2024-10-31,test,time_train
00618260,2024-10-31,2025-10-31,test,time_train
00620300,2024-07-31,2025-07-31,train,time_train
00620701,2024-06-30,2025-06-30,train,time_train
00621566,2024-02-28,2025-02-28,train,time_train
00622450,2023-12-31,2024-12-31,train,time_train
00622450,2024-12-31,2025-12-31,train,time_train
00622805,2024-03-31,2025-03-31,train,time_train
00622928,2024-04-05,2025-04-05,train,time_train
00624131,2024-03-29,2025-03-29,train,time_train
00624135,2024-03-31,2025-03-31,train,time_train
00624259,2024-03-31,2025-03-31,test,time_train
00624698,2024-03-29,2025-03-29,train,time_train
00624778,2024-03-31,2025-03-31,test,time_train
00624782,2024-04-05,2025-04-05,train,time_train
00624843,2023-12-31,2024-12-31,train,time_train
00626482,2024-03-31,2025-03-31,train,time_train
00627467,2024-03-28,2025-03-28,train,time_train
00628098,2024-03-31,2025-03-31,train,time_train
00628339,2024-06-24,2025-06-24,train,time_test
00628480,2023-12-31,2025-03-31,train,time_train
00629304,2024-04-05,2025-04-05,test,time_train
00629407,2024-09-30,2025-09-30,train,time_train
00630284,2024-08-31,2025-08-31,train,time_train
00631048,2023-12-31,2024-12-31,train,time_train
00631089,2024-09-30,2025-09-30,train,time_train
00631705,2024-03-31,2025-03-31,train,time_train
00632019,2024-03-31,2025-03-31,train,time_train
00632345,2024-03-31,2025-03-31,test,time_train
00632803,2023-09-30,2024-09-30,train,time_train
00633469,2024-03-31,2025-03-31,train,time_train
00633546,2024-02-29,2025-02-28,train,time_train
00634146,2024-03-31,2025-03-31,test,time_train
00636154,2024-09-30,2025-09-30,train,time_test
00636313,2024-09-30,2025-09-30,train,time_test
00637352,2024-03-31,2025-03-31,train,time_train
00638467,2024-03-31,2025-03-31,train,time_train
00639050,2024-03-31,2025-03-31,train,time_train
00639106,2023-12-31,2024-12-31,train,time_train
00639801,2023-07-31,2024-07-31,test,time_train
00639801,2024-07-31,2025-07-31,test,time_train
00639890,2023-12-31,2024-12-31,train,time_train
00641797,2024-03-31,2025-03-31,train,time_train
00644058,2024-06-30,2025-06-30,train,time_train
00645561,2024-03-31,2025-03-31,train,time_test
00646316,2024-03-31,2025-03-31,train,time_train
00646500,2023-12-31,2024-12-31,train,time_train
00646500,2024-12-31,2025-12-31,train,time_train
00646786,2024-03-31,2025-03-31,train,time_train
00646820,2024-07-31,2025-07-31,train,time_train
00647102,2024-04-30,2025-04-30,train,time_train
00648838,2025-03-31,2026-03-31,train,time_test
00649530,2024-03-31,2025-03-31,train,time_train
00652545,2024-04-30,2025-04-30,test,time_train
00652878,2024-08-31,2025-08-31,train,time_test
00653311,2024-09-30,2025-09-30,train,time_test
00653461,2023-12-31,2024-12-31,train,time_train
00653638,2024-03-31,2025-03-31,test,time_train
00653673,2024-03-31,2025-03-31,train,time_train
00654374,2024-06-30,2025-06-30,test,time_train
00655728,2024-01-31,2025-01-31,test,time_train
00655728,2025-01-31,2026-01-31,test,time_train
00655838,2024-06-24,2025-06-24,train,time_train
00656031,2024-09-29,2025-09-29,train,time_test
00656800,2024-03-25,2025-03-25,train,time_train
00657598,2024-09-30,2025-09-30,test,time_test
00657724,2024-08-31,2025-08-31,train,time_test
00658786,2024-04-30,2025-04-30,train,time_train
00660331,2024-03-31,2025-03-31,train,time_train
00660658,2025-02-28,2026-02-28,train,time_train
00662709,2024-03-25,2025-03-25,train,time_train
00665762,2023-12-31,2024-12-31,train,time_train
00666168,2024-03-31,2025-03-31,train,time_train
00666765,2024-09-30,2025-09-30,train,time_test
00667581,2024-06-24,2025-06-24,test,time_train
00667811,2024-08-22,2025-08-22,train,time_train
00669540,2024-08-31,2025-08-31,train,time_train
00670957,2024-03-31,2025-03-31,train,time_train
00671986,2023-12-31,2024-12-31,train,time_train
00671986,2024-12-31,2025-12-31,train,time_train
00672875,2024-12-31,2025-12-31,train,time_train
00672903,2024-04-05,2025-04-05,train,time_train
00672954,2024-03-31,2025-03-31,train,time_train
00673262,2024-09-30,2025-09-30,train,time_train
00673410,2024-04-30,2025-04-30,train,time_train
00673545,2024-06-30,2025-06-30,train,time_train
00674129,2024-04-05,2025-04-05,train,time_train
00674866,2024-04-30,2025-04-30,train,time_train
00674932,2024-01-31,2025-01-31,train,time_train
00675513,2024-09-30,2025-09-30,train,time_test
00677272,2023-12-31,2024-12-31,train,time_train
00677272,2024-12-31,2025-12-31,train,time_train
00677804,2023-12-31,2024-12-31,test,time_train
00680089,2023-09-30,2024-09-30,train,time_train
00680089,2024-09-30,2025-09-30,train,time_train
00680286,2024-04-30,2025-04-30,train,time_train
00680619,2024-02-29,2025-02-28,test,time_train
00681011,2024-03-18,2025-03-18,train,time_train
00681404,2024-04-30,2025-04-30,train,time_train
00682111,2024-03-31,2025-03-31,test,time_train
00683806,2024-03-31,2025-03-31,test,time_train
00684039,2024-04-30,2025-03-31,train,time_train
00684772,2024-03-25,2025-03-25,train,time_train
00684992,2024-03-31,2025-03-31,train,time_train
00685036,2024-02-28,2025-02-28,train,time_train
00685175,2024-05-31,2025-05-31,train,time_test
00685287,2024-05-31,2025-05-31,test,time_train
00686106,2023-12-31,2024-12-31,train,time_train
00687238,2024-04-05,2025-04-05,train,time_train
00687557,2024-06-30,2025-06-30,train,time_train
00687653,2024-03-31,2025-03-31,train,time_train
00687697,2024-03-31,2025-03-31,train,time_train
00687966,2024-06-30,2025-06-30,test,time_train
00688445,2024-03-31,2025-03-31,test,time_train
00689581,2024-06-30,2025-06-30,train,time_train
00689946,2023-12-31,2024-12-31,train,time_train
00690338,2024-09-28,2025-09-28,train,time_test
00690786,2024-09-30,2025-09-30,train,time_test
00690797,2024-03-31,2025-03-31,train,time_train
00691124,2023-09-26,2024-09-26,test,time_train
00691124,2024-09-26,2025-09-26,test,time_train
00692327,2024-03-31,2025-03-31,train,time_train
00692449,2024-06-30,2025-06-30,train,time_train
00693335,2024-04-30,2025-04-30,test,time_train
00693413,2024-04-30,2025-04-30,train,time_train
00695980,2024-06-30,2025-06-30,train,time_train
00696636,2023-12-31,2024-12-31,train,time_train
00698086,2024-07-31,2025-07-31,train,time_train
00698392,2024-12-31,2025-12-31,train,time_train
00700087,2024-09-30,2025-09-30,train,time_train
00700521,2024-04-05,2025-04-05,train,time_train
00701333,2023-12-31,2024-12-31,train,time_train
00702486,2024-10-31,2025-10-31,train,time_train
00702539,2024-06-30,2025-06-30,test,time_train
